Country,2015 rank[23],2015 score[23],2014 rank[24],2014 score[24],2013 rank[25],2013 score[25],2012 rank[26][27],2012 score[26],2011 rank[27][28],2011 score[28],2010 rank[29],2010 score[29],2009 rank,2009 score,2008 rank,2008 score
Iceland,1,1.148,1,1.189,1,1.162,1,1.113,1,1.148,2,1.212,1,1.203,1,1.107
Denmark,2,1.150,2,1.193,2,1.207,2,1.239,4,1.289,7,1.341,6,1.263,5,1.238
Austria,3,1.198,3,1.200,4,1.250,6,1.328,6,1.337,4,1.290,3,1.240,10,1.291
New Zealand,4,1.221,4,1.236,3,1.237,2,1.239,2,1.279,1,1.188,2,1.227,2,1.190
Switzerland,5,1.275,5,1.258,5,1.272,10,1.349,16,1.421,18,1.424,11,1.349,4,1.234
Finland,6,1.277,6,1.297,7,1.297,9,1.348,7,1.352,9,1.352,7,1.297,7,1.273
Canada,7,1.287,7,1.306,8,1.306,4,1.317,8,1.355,14,1.392,9,1.324,6,1.264
Japan,8,1.323,8,1.316,6,1.293,5,1.326,3,1.287,3,1.247,4,1.243,3,1.230
Australia,9,1.329,15,1.414,16,1.438,22,1.494,18,1.455,19,1.467,19,1.440,16,1.421
Czech Republic,10,1.341,11,1.381,14,1.404,13,1.396,5,1.320,12,1.360,16,1.430,18,1.435
Portugal,11,1.344,18,1.425,18,1.467,16,1.470,17,1.453,13,1.366,15,1.426,14,1.385
Ireland,12,1.354,13,1.384,12,1.370,6,1.328,11,1.370,6,1.337,14,1.393,11,1.310
Sweden,13,1.360,11,1.381,9,1.319,14,1.419,13,1.401,10,1.354,5,1.253,8,1.282
Belgium,14,1.365,9,1.354,10,1.339,11,1.376,14,1.413,17,1.400,13,1.365,13,1.368
Slovenia,15,1.378,14,1.398,13,1.374,8,1.330,10,1.358,11,1.358,10,1.343,13,1.370
Germany,16,1.379,17,1.423,15,1.431,15,1.424,15,1.416,16,1.398,17,1.443,15,1.406
Norway,17,1.393,10,1.371,11,1.359,18,1.480,9,1.356,5,1.322,8,1.324,9,1.288
Bhutan,18,1.416,16,1.422,20,1.487,19,1.481,34,1.693,36,1.665,43,1.722,19,1.440
Poland,19,1.430,23,1.532,25,1.530,24,1.524,22,1.545,29,1.618,28,1.597,33,1.610
Netherlands,20,1.432,20,1.475,22,1.508,28,1.606,25,1.628,27,1.610,29,1.609,28,1.555
Spain,21,1.451,26,1.548,27,1.563,25,1.548,28,1.641,25,1.588,32,1.640,27,1.550
Hungary,22,1.463,21,1.482,23,1.520,17,1.476,20,1.495,20,1.495,25,1.574,20,1.452
Slovakia,23,1.478,19,1.467,33,1.622,26,1.590,23,1.576,21,1.536,23,1.532,25,1.533
Singapore,24,1.490,25,1.545,16,1.438,23,1.521,24,1.585,30,1.624,18,1.439,21,1.465
Mauritius,25,1.503,24,1.544,21,1.497,21,1.487,,,,,,,,
Romania,26,1.542,35,1.677,30,1.584,32,1.627,40,1.742,45,1.749,26,1.580,26,1.537
Croatia,27,1.550,26,1.548,28,1.571,35,1.648,37,1.699,41,1.707,40,1.669,52,1.760
Malaysia,28,1.561,33,1.659,29,1.574,20,1.590,20,1.485,22,1.539,22,1.520,23,1.517
Chile,29,1.563,30,1.591,31,1.589,30,1.616,38,1.710,28,1.616,20,1.468,17,1.431
Qatar,30,1.568,22,1.491,19,1.480,12,1.395,12,1.398,15,1.394,12,1.357,30,1.561
Botswana,31,1.597,36,1.678,32,1.598,31,1.621,35,1.695,33,1.641,31,1.634,37,1.650
Bulgaria,32,1.607,32,1.637,35,1.663,39,1.699,53,1.845,50,1.785,46,1.738,46,1.720
Kuwait,33,1.626,37,1.679,37,1.705,47,1.792,29,1.667,39,1.693,38,1.691,42,1.670
Costa Rica,34,1.654,42,1.755,40,1.755,36,1.659,31,1.681,26,1.590,27,1.595,31,1.570
Taiwan,35,1.657,28,1.558,26,1.538,27,1.602,27,1.638,35,1.664,33,1.644,40,1.660
Italy,36,1.669,34,1.675,34,1.663,38,1.690,45,1.775,40,1.701,39,1.693,34,1.620
Lithuania,37,1.674,46,1.797,43,1.784,43,1.741,43,1.760,42,1.713,36,1.675,48,1.670
Estonia,38,1.677,31,1.635,38,1.710,41,1.715,47,1.798,46,1.751,41,1.720,32,1.650
United Kingdom,39,1.685,47,1.798,44,1.787,29,1.609,26,1.631,31,1.631,41,1.710,48,1.740
Latvia,40,1.695,39,1.745,41,1.772,45,1.774,46,1.793,54,1.827,50,1.774,45,1.700
Laos,41,1.700,38,1.723,39,1.724,37,1.662,32,1.687,34,1.661,49,1.767,55,1.770
South Korea,42,1.701,52,1.849,47,1.822,42,1.734,50,1.829,43,1.715,42,1.716,40,1.660
Mongolia,43,1.706,41,1.778,64,1.921,58,1.884,57,1.880,92,2.101,88,2.060,89,2.060
Uruguay,44,1.721,29,1.565,24,1.528,33,1.628,21,1.521,24,1.568,24,1.573,24,1.524
France,45,1.742,48,1.808,53,1.863,40,1.710,36,1.697,32,1.636,52,1.779,50,1.750
Indonesia,46,1.768,54,1.853,54,1.879,63,1.913,68,1.979,67,1.946,60,1.843,64,1.860
Serbia,46,1.768,52,1.849,62,1.912,64,1.920,84,2.071,90,2.071,71,1.906,80,2.020
Namibia,48,1.784,48,1.808,46,1.807,49,1.804,54,1.850,59,1.864,59,1.837,60,1.820
Senegal,49,1.805,72,1.974,85,2.061,78,1.994,77,2.047,79,2.031,75,1.969,74,1.950
United Arab Emirates,49,1.805,40,1.748,36,1.679,46,1.785,33,1.690,44,1.739,30,1.619,29,1.557
Malawi,51,1.814,77,1.995,74,1.984,60,1.894,39,1.740,51,1.813,51,1.776,62,1.840
Albania,52,1.821,65,1.939,69,1.961,66,1.927,63,1.912,65,1.925,70,1.890,71,1.910
Bosnia and Herzegovina,53,1.839,61,1.902,71,1.967,65,1.923,60,1.893,60,1.873,45,1.735,69,1.900
Ghana,54,1.840,61,1.902,58,1.899,50,1.807,42,1.752,48,1.781,55,1.795,55,1.770
Zambia,55,1.846,44,1.791,48,1.832,51,1.830,52,1.833,51,1.813,58,1.824,52,1.760
Vietnam,56,1.848,45,1.792,41,1.772,34,1.641,30,1.670,38,1.691,48,1.764,42,1.730
Montenegro,57,1.854,55,1.860,73,1.976,81,2.006,89,2.113,88,2.060,80,2.005,,
Timor-Leste,58,1.860,69,1.947,51,1.854,,,,,,,,,,
Sierra Leone,59,1.864,66,1.942,59,1.904,52,1.855,61,1.904,53,1.818,,,,
Argentina,60,1.865,43,1.789,60,1.907,44,1.763,55,1.852,71,1.962,61,1.846,55,1.770
Greece,61,1.878,86,2.052,68,1.957,77,1.976,65,1.947,62,1.887,62,1.850,58,1.810
Nepal,62,1.878,76,1.989,82,2.058,80,2.001,95,2.152,82,2.044,76,1.967,,
Lesotho,63,1.891,50,1.839,50,1.840,53,1.864,,,,,,,,
Panama,64,1.903,57,1.877,56,1.893,61,1.899,49,1.812,61,1.878,66,1.862,43,1.680
Tanzania,64,1.903,59,1.889,55,1.887,55,1.873,56,1.858,55,1.832,53,1.782,56,1.790
Gabon,66,1.904,68,1.945,76,1.995,75,1.972,81,2.059,74,1.981,44,1.730,50,1.750
Madagascar,67,1.911,66,1.942,90,2.074,99,2.124,105,2.239,77,2.019,69,1.886,35,1.630
Cyprus,68,1.924,51,1.844,49,1.840,73,1.957,71,2.013,76,2.013,34,1.64,37,1.650
Kosovo,69,1.938,64,1.929,72,1.969,,,,,,,,,,
Moldova,70,1.942,71,1.971,74,1.984,66,1.927,59,1.892,66,1.938,74,1.965,78,2.000
Jordan,71,1.944,56,1.861,52,1.858,62,1.905,64,1.918,68,1.948,67,1.864,61,1.830
Togo,71,1.944,80,2.003,67,1.954,,,,,,,,,,
Macedonia,71,1.944,87,2.056,79,2.044,68,1.935,78,2.048,83,2.048,86,2.052,76,1.960
Nicaragua,74,1.947,58,1.882,66,1.931,81,2.006,72,2.021,64,1.924,72,1.911,71,1.910
Oman,74,1.947,59,1.889,45,1.806,59,1.887,41,1.743,23,1.561,21,1.438,22,1.467
Tunisia,76,1.952,79,2.001,77,2.005,72,1.955,44,1.765,37,1.678,37,1.686,40,1.660
Benin,77,1.958,100,2.129,104,2.156,114,2.231,,,,,,,,
Liberia,78,1.963,84,2.014,80,2.048,101,2.131,96,2.159,99,2.148,,,,
Georgia,79,1.973,111,2.225,139,2.511,141,2.541,134,2.558,142,2.970,134,2.842,,
Mozambique,80,1.976,82,2.004,61,1.910,48,1.796,48,1.809,47,1.779,47,1.762,45,1.700
Equatorial Guinea,81,1.987,93,2.079,89,2.072,87,2.039,75,2.041,68,1.948,56,1.808,69,1.900
Cuba,82,1.988,75,1.986,65,1.922,70,1.951,67,1.964,72,1.964,64,1.858,64,1.860
Burkina Faso,83,1.994,78,1.998,87,2.064,56,1.881,51,1.832,57,1.852,65,1.860,72,1.930
Bangladesh,84,1.997,98,2.106,105,2.159,91,2.071,83,2.070,87,2.058,93,2.082,93,2.100
Ecuador,84,1.997,85,2.042,83,2.059,85,2.028,90,2.116,101,2.185,105,2.197,100,2.170
Morocco,86,2.002,63,1.915,57,1.897,54,1.867,58,1.887,58,1.861,63,1.856,60,1.820
Kazakhstan,87,2.008,103,2.150,78,2.031,105,2.151,93,2.137,95,2.113,97,2.141,82,2.030
Angola,88,2.020,102,2.143,102,2.148,95,2.105,87,2.109,86,2.057,84,2.045,100,2.170
Paraguay,89,2.023,73,1.976,84,2.060,76,1.973,66,1.954,77,2.019,73,1.950,69,1.900
Bolivia,90,2.025,70,1.969,86,2.062,84,2.021,76,2.045,81,2.037,82,2.041,76,1.960
Armenia,91,2.028,97,2.097,98,2.123,115,2.238,109,2.260,113,2.266,,,,
Guyana,92,2.029,83,2.013,70,1.962,69,1.937,88,2.112,91,2.095,94,2.082,,
Peru,92,2.029,119,2.304,114,2.258,79,1.995,85,2.077,89,2.067,78,2.000,89,2.060
United States of America,94,2.038,101,2.137,100,2.126,88,2.058,82,2.063,85,2.056,104,2.195,100
Saudi Arabia,95,2.042,80,2.003,97,2.119,106,2.178,101,2.192,107,2.216,108,2.251,105,2.250
Papua New Guinea,96,2.064,90,2.066,99,2.126,93,2.076,94,2.139,95,2.113,91,2.075,96,2.130
Trinidad and Tobago,97,2.070,89,2.065,90,2.074,94,2.082,79,2.051,94,2.107,77,1.985,89,2.060
Haiti,98,2.074,99,2.127,92,2.075,107,2.179,113,2.288,114,2.270,120,2.406,114,2.350
Gambia,99,2.086,94,2.085,93,2.091,74,1.961,62,1.910,63,1.890
Dominican Republic,100,2.089,95,2.093,94,2.103,90,2.068,91,2.125,93,2.103,79,2.004,83,2.040
Swaziland,101,2.102,87,2.056,88,2.069,85,2.028,69,1.995,73,1.966,,,,
Djibouti,102,2.113,74,1.979,63,1.917,56,1.881,,,,,,,,
Brazil,103,2.122,91,2.073,81,2.051,83,2.017,74,2.040,83,2.048,87,2.058,93,2.100
Algeria,104,2.131,114,2.239,119,2.284,121,2.255,129,2.423,116,2.277,110,2.276,108,2.290
Cote d'Ivoire,105,2.133,140,2.546,151,2.732,134,2.419,128,2.417,118,2.297,113,2.320,109,2.300
Turkmenistan,106,2.135,95,2.093,103,2.154,117,2.242,108,2.248,117,2.295,90,2.075,97,2.160
Bahrain,107,2.142,111,2.225,95,2.109,118,2.247,123,2.398,70,1.956,57,1.815,57,1.800
Tajikistan,108,2.152,126,2.395,118,2.282,99,2.124,103,2.225,,,,,,
Jamaica,109,2.153,107,2.203,117,2.274,113,2.222,106,2.244,98,2.138,89,2.065,89,2.060
Belarus,110,2.163,92,2.078,96,2.117,109,2.208,112,2.283,105,2.204,85,2.046,89,2.060
Cambodia,111,2.179,106,2.201,115,2.263,108,2.207,115,2.301,111,2.252,101,2.178,95,2.120
Uganda,111,2.179,110,2.221,106,2.180,98,2.121,96,2.159,100,2.165,103,2.188,110,2.300
Uzbekistan,113,2.187,104,2.179,124,2.333,110,2.219,109,2.260,110,2.242,109,2.274,113,2.325
Sri Lanka,114,2.188,105,2.197,110,2.230,103,2.145,126,2.407,133,2.621,126,2.571,120,2.450
Republic of the Congo,115,2.196,109,2.211,107,2.183,104,2.148,98,2.165,102,2.192,99,2.161,101,2.180
Honduras,116,2.210,117,2.281,123,2.332,129,2.339,117,2.327,125,2.395,116,2.379,116,2.370
Guinea,117,2.214,118,2.296,116,2.272,92,2.073,92,2.126,,,,,,
Guatemala,118,2.215,115,2.248,109,2.221,124,2.287,125,2.405,112,2.258,102,2.187,102,2.210
Ethiopia,119,2.234,139,2.502,146,2.630,137,2.504,131,2.468,127,2.444,130,2.635,126,2.460
Guinea-Bissau,120,2.235,145,2.591,132,2.431,95,2.105,,,,,,,,
Kyrgyzstan,121,2.249,125,2.382,131,2.391,131,2.359,114,2.296,,,,,,
Mauritania,122,2.262,120,2.350,122,2.326,125,2.301,130,2.425,123,2.389,117,2.388,105,2.250
El Salvador,123,2.263,116,2.280,112,2.240,111,2.220,102,2.215,103,2.195,92,2.080,93,2.100
People's Republic of China,124,2.267,108,2.207,101,2.142,89,2.061,80,2.054,80,2.034,83,2.045,82,2.030
Zimbabwe,125,2.294,148,2.662,149,2.696,140,2.538,140,2.722,135,2.678,131,2.700,134,2.380
Thailand,126,2.303,126,2.395,130,2.378,126,2.303,107,2.247,124,2.393,119,2.399,111,2.324
Eritrea,127,2.309,124,2.377,120,2.288,122,2.264,104,2.227,,,,,,
Mali,128,2.310,135,2.465,125,2.346,102,2.132,100,2.188,109,2.240,107,2.250,108,2.290
Niger,129,2.320,121,2.351,127,2.362,116,2.241,119,2.356,,,,,,
Burundi,130,2.323,130,2.418,144,2.593,138,2.524,132,2.532,131,2.577,123,2.536,,
Myanmar,130,2.323,136,2.473,140,2.528,139,2.525,133,2.538,132,2.580,122,2.495,124,2.540
Azerbaijan,132,2.325,123,2.365,126,2.350,132,2.360,122,2.379,119,2.367,114,2.342,108,2.290
Kenya,133,2.342,132,2.452,136,2.466,120,2.252,111,2.276,120,2.369,111,2.297,118,2.380
Cameroon,134,2.349,113,2.235,108,2.191,97,2.113,86,2.104,106,2.210,95,2.111,93,2.100
Turkey,135,2.363,128,2.402,134,2.437,130,2.344,127,2.411,126,2.420,124,2.538,119,2.430
South Africa,136,2.376,122,2.364,121,2.292,127,2.321,118,,121,2.380,112,2.317,95,2.120
Egypt,137,2.382,143,2.571,113,2.258,111,2.220,73,2.023,49,1.784,68,1.872,74,1.950
Iran,138,2.409,131,2.437,137,2.473,128,2.324,119,2.356,104,2.202,106,2.241,106,2.241
Rwanda,139,2.420,137,2.494,135,2.444,119,2.250,99,2.185,75,2.012,81,2.025,66,1.870
Chad,140,2.429,142,2.558,138,2.493,145,2.671,141,2.740,141,2.964,135,2.959,134,2.970
Philippines,141,2.462,134,2.456,129,2.374,133,2.415,136,2.574,130,2.574,118,2.397,116,2.370
Venezuela,142,2.493,129,2.410,128,2.370,123,2.278,124,2.403,122,2.387,115,2.348,103,2.240
India,143,2.504,144,2.571,141,2.570,142,2.549,135,2.570,128,2.516,125,2.554,123,2.490
Mexico,144,2.530,138,2.500,133,2.434,135,2.445,121,2.362,107,2.216,98,2.158,89,2.060
Lebanon,145,2.623,146,2.620,142,2.575,136,2.459,137,2.597,134,2.639,128,2.606,127,2.670
Colombia,146,2.720,150,2.701,147,2.634,144,2.625,139,2.700,138,2.787,129,2.625,125,2.610
Yemen,147,2.751,147,2.629,152,2.747,143,2.601,138,2.670,129,2.573,121,2.416,111,2.324
Israel,148,2.781,149,2.689,150,2.730,150,2.842,145,2.901,149,3.019,137,3.012,134,2.970
Libya,149,2.819,133,2.453,145,2.604,147,2.830,143,2.816,56,1.839,54,1.790,65,1.870
Ukraine,150,2.845,141,2.546,111,2.238,71,1.953,69,1.995,97,2.115,100,2.166,80,2.020
Nigeria,151,2.910,151,2.710,148,2.693,146,2.801,142,2.743,137,2.756,127,2.599,118,2.570
Russia,152,2.954,152,3.039,155,3.060,153,2.938,147,2.966,143,3.013,138,3.064,131,2.870
North Korea,153,2.977,153,3.071,154,3.044,152,2.932,149,3.092,139,2.855,133,2.771,129,2.750
Pakistan,154,3.049,154,3.107,157,3.106,149,2.833,146,2.905,145,3.050,140,3.087,132,2.890
Democratic Republic of the Congo,155,3.085,155,3.213,156,3.085,154,3.073,148,3.016,140,2.925,136,2.988,128,2.690
Sudan,156,3.295,157,3.362,158,3.242,156,3.193,151,3.223,146,3.125,139,3.086,136,3.150
Somalia,157,3.307,158,3.368,161,3.394,158,3.392,153,3.379,148,3.390,141,3.269,137,3.320
Central African Republic,158,3.332,156,3.331,153,3.031,151,2.872,144,2.869,136,2.753,132,2.706,130,2.810
South Sudan,159,3.383,160,3.397,143,2.576,,,,,,,,,,
Afghanistan,160,3.427,161,3.416,162,3.440,157,3.252,150,3.212,147,3.252,142,3.358,135,3.000
Iraq,161,3.444,159,3.377,159,3.245,155,3.192,152,3.296,149,3.406,143,3.370,138,3.370
Syria,162,3.645,162,3.650,160,3.393,147,2.830,116,2.322,115,2.274,96,2.112,77,1.990